,school_name,address,Ambitious_Instruction,Collaborative_Teachers,Effective_Leaders,Involved_Families,Supportive_Environment,signed_silhouettes,income
83,CICS - Washington Park,"110 E 61st St, Chicago, IL 60637",94.0,61.0,47.0,41.0,48.0,0.2604881778163456,30244.0
84,CICS - West Belden,"2245 N Mcvicker Ave, Chicago, IL 60639",73.0,68.0,47.0,78.0,64.0,-0.4225743252602427,50923.0
85,CICS - Wrightwood,"8130 S California Ave, Chicago, IL 60652",80.0,86.0,73.0,80.0,36.0,-0.49974404340516565,64997.0
86,Calmeca Academy of Fine Arts and Dual Language,"3456 W 38th St, Chicago, IL 60632",74.0,64.0,61.0,75.0,64.0,-0.5398303611755337,46811.0
87,Camelot - Chicago Excel Academy,"1257 W 111th St, Chicago, IL 60643",82.0,69.0,38.0,48.0,63.0,0.10427880538556582,62868.0
88,Camelot Excel - Englewood HS,"7141 S Morgan, Chicago, IL 60621",92.0,73.0,66.0,43.0,77.0,-0.3742553484396248,23875.0
89,Camelot Excel - Southwest HS,"7014 S Washtenaw Ave, Chicago, IL 60629",82.0,72.0,,,72.0,-0.7100150834746222,50099.0
90,Camelot Safe Academy ES and HS,"7877 S Coles Ave, Chicago, IL 60649",99.0,99.0,87.0,,83.0,-0.6829052320202356,35616.0
91,Carl Schurz High School,"3601 N Milwaukee Ave, Chicago, IL 60641",67.0,54.0,47.0,45.0,51.0,0.5957165254047557,54544.0
92,Carl von Linne Elementary School,"3221 N Sacramento Ave, Chicago, IL 60618",98.0,80.0,75.0,82.0,75.0,-0.7365897474161699,55303.0
93,Carrie Jacobs Bond Elementary School,"7050 S May St, Chicago, IL 60621",78.0,30.0,29.0,36.0,91.0,0.33945842956531364,23875.0
94,Carroll-Rosenwald Specialty Elementary School,"2929 W 83rd St, Chicago, IL 60652",99.0,86.0,73.0,93.0,92.0,-0.668062487251108,64997.0
95,Carter G Woodson South Elementary School,"4414 S Evans Ave, Chicago, IL 60653",90.0,46.0,43.0,53.0,61.0,0.249888047116507,18464.0
96,Catalyst Elementary Charter School - Circle Rock,"5608 W Washington Blvd, Chicago, IL 60644",92.0,72.0,68.0,68.0,61.0,-0.643942629101005,35248.0
97,Catalyst Maria Charter Elementary School,"6727 S California Ave, Chicago, IL 60629",57.0,64.0,55.0,68.0,31.0,0.3631260726740602,50099.0
98,Catalyst Maria Charter High School,"6727 S California Ave, Chicago, IL 60629",61.0,47.0,49.0,61.0,50.0,0.580562971000058,50099.0
99,Cesar E Chavez Multicultural Academic Center ES,"4747 S Marshfield Ave, Chicago, IL 60609",70.0,69.0,69.0,69.0,51.0,-0.3794347109672156,31357.0
100,Charles Allen Prosser Career Academy High School,"2148 N Long Ave, Chicago, IL 60639",86.0,55.0,36.0,55.0,65.0,0.21716386733371928,50923.0
101,Charles Evans Hughes Elementary School,"4247 W 15th St, Chicago, IL 60623",81.0,57.0,58.0,46.0,54.0,0.24750826238006576,34670.0
102,Charles G Hammond Elementary School,"2819 W 21st Pl, Chicago, IL 60623",49.0,50.0,52.0,67.0,36.0,0.5506383524077236,34670.0
103,Charles Gates Dawes Elementary School,"3810 W 81st Pl, Chicago, IL 60652",93.0,82.0,72.0,70.0,57.0,-0.6423076173613799,64997.0
104,Charles H Wacker Elementary School,"9746 S Morgan St, Chicago, IL 60643",89.0,42.0,43.0,53.0,82.0,0.05730736614360273,62868.0
105,Charles Kozminski Elementary Community Academy,"936 E 54th St, Chicago, IL 60615",63.0,60.0,56.0,66.0,35.0,0.38132643147671696,41344.0
106,Charles N Holden Elementary School,"1104 W 31st St, Chicago, IL 60608",77.0,53.0,39.0,55.0,58.0,0.4369030819652846,33821.0
107,Charles P Caldwell Academy of Math & Science ES,"8546 S Cregier Ave, Chicago, IL 60617",96.0,75.0,75.0,81.0,88.0,-0.7121836469664157,43572.0
108,Charles P Steinmetz College Preparatory HS,"3030 N Mobile Ave, Chicago, IL 60634",69.0,80.0,60.0,82.0,50.0,-0.4974906180891138,62214.0
109,Charles R Darwin Elementary School,"3116 W Belden Ave, Chicago, IL 60647",75.0,64.0,57.0,66.0,60.0,-0.33912808902067915,46572.0
110,Charles R Henderson Elementary School,"5650 S Wolcott Ave, Chicago, IL 60636",78.0,56.0,57.0,44.0,44.0,0.43764291349210105,33080.0
111,Charles S Brownell Elementary School,"6741 S Michigan Ave, Chicago, IL 60637",69.0,40.0,42.0,,52.0,0.6507476584792239,30244.0
112,Charles S Deneen Elementary School,"7240 S Wabash Ave, Chicago, IL 60619",97.0,75.0,65.0,78.0,84.0,-0.7092073261712049,42754.0
113,Charles Sumner Math & Science Community Acad ES,"4320 W 5th Ave, Chicago, IL 60624",77.0,68.0,63.0,71.0,42.0,-0.26618936806662313,28695.0
114,Charles W Earle Elementary School,"2040 W 62nd St, Chicago, IL 60636",55.0,35.0,37.0,49.0,34.0,0.7273463597954217,33080.0
115,Chicago Academy Elementary School,"3400 N Austin Ave, Chicago, IL 60634",75.0,59.0,54.0,63.0,46.0,0.1562851125692546,62214.0
116,Chicago Academy High School,"3400 N Austin Ave, Chicago, IL 60634",76.0,60.0,54.0,52.0,57.0,0.1493077271350779,62214.0
