,Unnamed: 0,Address,Ambitious_Instruction,Collaborative_Teachers,Effective_Leaders,Involved_Families,Supportive_Environment,latitude,longitude
77,CICS - Bucktown,"2235 N Hamilton Ave, Chicago, IL 60647",71,82,68,80,49,41.92254670000001,-87.68081
78,CICS - ChicagoQuest North,"1443 N Ogden Ave, Chicago, IL 60610",89,82,53,76,72,41.9074483,-87.64539429999999
79,CICS - Irving Park,"3820 N Spaulding Ave, Chicago, IL 60618",59,76,58,72,58,41.9507565,-87.71087299999999
80,CICS - Lloyd Bond,"13300 S Langley Ave, Chicago, IL 60827",74,54,48,33,49,41.6532972,-87.60557299999999
81,CICS - Longwood,"1309 W 95th St, Chicago, IL 60643",41,64,61,47,12,41.72025379999999,-87.6557239
82,CICS - Loomis Primary,"9535 S Loomis St, Chicago, IL 60643",-1,53,64,50,-1,41.7200074,-87.6569955
83,CICS - Northtown,"3900 W Peterson Ave, Chicago, IL 60659",88,94,89,93,83,41.9910317,-87.7275294
84,CICS - Prairie,"11530 S Prairie Ave, Chicago, IL 60628",32,51,47,49,30,41.6845604,-87.61651669999999
85,CICS - Ralph Ellison,"1817 W 80th St, Chicago, IL 60620",77,52,53,56,58,41.7480482,-87.66913219999999
86,CICS - Washington Park,"110 E 61st St, Chicago, IL 60637",94,61,47,41,48,41.7842096,-87.62118319999999
87,CICS - West Belden,"2245 N Mcvicker Ave, Chicago, IL 60639",73,68,47,78,64,41.9216407,-87.7766023
88,CICS - Wrightwood,"8130 S California Ave, Chicago, IL 60652",80,86,73,80,36,41.7451053,-87.6928567
89,Calmeca Academy of Fine Arts and Dual Language,"3456 W 38th St, Chicago, IL 60632",74,64,61,75,64,41.8245538,-87.71140009999999
90,Camelot - Chicago Excel Academy,"1257 W 111th St, Chicago, IL 60643",82,69,38,48,63,41.6919111,-87.65433660000001
91,Camelot Excel - Englewood HS,"7141 S Morgan, Chicago, IL 60621",92,73,66,43,77,41.7636438,-87.6489991
92,Camelot Excel - Southwest HS,"7014 S Washtenaw Ave, Chicago, IL 60629",82,72,-1,-1,72,41.7658704,-87.6909117
93,Camelot Safe Academy ES and HS,"7877 S Coles Ave, Chicago, IL 60649",99,99,87,-1,83,41.75226199999999,-87.55001519999999
94,Carl Schurz High School,"3601 N Milwaukee Ave, Chicago, IL 60641",67,54,47,45,51,41.9474657,-87.7352863
95,Carl von Linne Elementary School,"3221 N Sacramento Ave, Chicago, IL 60618",98,80,75,82,75,41.9405199,-87.7024047
96,Carrie Jacobs Bond Elementary School,"7050 S May St, Chicago, IL 60621",78,30,29,36,91,41.76575589999999,-87.65325759999999
97,Carroll-Rosenwald Specialty Elementary School,"2929 W 83rd St, Chicago, IL 60652",99,86,73,93,92,41.7421281,-87.6968203
98,Carter G Woodson South Elementary School,"4414 S Evans Ave, Chicago, IL 60653",90,46,43,53,61,41.814694,-87.60856
99,Catalyst Elementary Charter School - Circle Rock,"5608 W Washington Blvd, Chicago, IL 60644",92,72,68,68,61,41.88243569999999,-87.76537189999999
100,Catalyst Maria Charter Elementary School,"6727 S California Ave, Chicago, IL 60629",57,64,55,68,31,41.7709745,-87.69251009999999
101,Catalyst Maria Charter High School,"6727 S California Ave, Chicago, IL 60629",61,47,49,61,50,41.7709745,-87.69251009999999
102,Cesar E Chavez Multicultural Academic Center ES,"4747 S Marshfield Ave, Chicago, IL 60609",70,69,69,69,51,41.80780120000001,-87.6657403
103,Charles Allen Prosser Career Academy High School,"2148 N Long Ave, Chicago, IL 60639",86,55,36,55,65,41.9191471,-87.76171649999999
104,Charles Evans Hughes Elementary School,"4247 W 15th St, Chicago, IL 60623",81,57,58,46,54,41.8604761,-87.7312472
105,Charles G Hammond Elementary School,"2819 W 21st Pl, Chicago, IL 60623",49,50,52,67,36,41.8525346,-87.6963492
106,Charles Gates Dawes Elementary School,"3810 W 81st Pl, Chicago, IL 60652",93,82,72,70,57,41.7453732,-87.71803129999999
107,Charles H Wacker Elementary School,"9746 S Morgan St, Chicago, IL 60643",89,42,43,53,82,41.7161812,-87.6485943
108,Charles Kozminski Elementary Community Academy,"936 E 54th St, Chicago, IL 60615",63,60,56,66,35,41.7985756,-87.6023599
109,Charles N Holden Elementary School,"1104 W 31st St, Chicago, IL 60608",77,53,39,55,58,41.8381006,-87.65415159999999
110,Charles P Caldwell Academy of Math & Science ES,"8546 S Cregier Ave, Chicago, IL 60617",96,75,75,81,88,41.7393332,-87.5819078
111,Charles P Steinmetz College Preparatory HS,"3030 N Mobile Ave, Chicago, IL 60634",69,80,60,82,50,41.935631,-87.78415199999999
112,Charles R Darwin Elementary School,"3116 W Belden Ave, Chicago, IL 60647",75,64,57,66,60,41.923542,-87.7056382
113,Charles R Henderson Elementary School,"5650 S Wolcott Ave, Chicago, IL 60636",78,56,57,44,44,41.79099919999999,-87.672214
114,Charles S Brownell Elementary School,"6741 S Michigan Ave, Chicago, IL 60637",69,40,42,-1,52,41.7715893,-87.62140649999999
115,Charles S Deneen Elementary School,"7240 S Wabash Ave, Chicago, IL 60619",97,75,65,78,84,41.762424,-87.624028
116,Charles Sumner Math & Science Community Acad ES,"4320 W 5th Ave, Chicago, IL 60624",77,68,63,71,42,41.8715929,-87.7323445
117,Charles W Earle Elementary School,"2040 W 62nd St, Chicago, IL 60636",55,35,37,49,34,41.7816454,-87.6756705
118,Chicago Academy Elementary School,"3400 N Austin Ave, Chicago, IL 60634",75,59,54,63,46,41.9429136,-87.7770251
119,Chicago Academy High School,"3400 N Austin Ave, Chicago, IL 60634",76,60,54,52,57,41.9429136,-87.7770251
120,Chicago Collegiate Charter School,"11816 S Indiana, Chicago, IL 60628",45,43,40,45,25,41.6793831,-87.6182908
121,Chicago High School for Agricultural Sciences,"3857 W 111th St, Chicago, IL 60655",64,74,66,86,63,41.690225,-87.71764650000001
122,Chicago High School for the Arts (ChiArts),"2714 W Augusta Blvd, Chicago, IL 60622",70,34,24,53,60,41.8994704,-87.6948413
123,Chicago Math and Science Academy Charter School,"7212 N Clark St, Chicago, IL 60626",75,60,53,65,53,42.0134295,-87.67522869999999
124,Chicago Military Academy High School,"3519 S Giles Ave, Chicago, IL 60653",75,54,60,67,44,41.8301051,-87.6189808
125,Chicago Technology Academy High School,"1301 W 14th St, Chicago, IL 60608",65,78,64,67,64,41.8630879,-87.659893
126,Chicago Virtual Charter School,"38 S Peoria St, Chicago, IL 60607",57,57,43,60,59,41.8808766,-87.6500169
127,Chicago Vocational Career Academy High School,"2100 E 87th St, Chicago, IL 60617",82,60,56,60,55,41.7381992,-87.57233459999999
128,Christian Ebinger Elementary School,"7350 W Pratt Ave, Chicago, IL 60631",81,85,76,95,60,42.0046525,-87.8108201
129,Christian Fenger Academy High School,"11220 S Wallace St, Chicago, IL 60628",96,78,71,58,74,41.6897069,-87.63784
130,Christopher Columbus Elementary School,"1003 N Leavitt St, Chicago, IL 60622",95,86,72,97,82,41.8996893,-87.6814153
131,Christopher House Charter School,"5235 W Belden Ave, Chicago, IL 60639",-1,56,52,78,-1,41.9220519,-87.7578432
132,Clara Barton Elementary School,"7650 S Wolcott Ave, Chicago, IL 60620",82,59,51,56,52,41.754779,-87.67144359999999
133,Claremont Academy Elementary School,"2300 W 64th St, Chicago, IL 60636",97,66,60,62,80,41.7778253,-87.6814582
134,Collins Academy High School,"1313 S Sacramento Dr, Chicago, IL 60623",89,74,68,45,80,41.8643835,-87.7013284
135,Columbia Explorers Elementary Academy,"4520 S Kedzie Ave, Chicago, IL 60632",75,65,69,61,54,41.81094239999999,-87.7044449
136,Consuella B York Alternative HS,"2700 S California Ave, Chicago, IL 60608",64,59,64,40,40,41.8426106,-87.6953025
137,Countee Cullen Elementary School,"10650 S Eberhart Ave, Chicago, IL 60628",98,63,58,36,70,41.7002542,-87.61165679999999
138,Crown Community Academy of Fine Arts Center ES,"2128 S Saint Louis Ave, Chicago, IL 60623",92,75,65,66,86,41.8526667,-87.7127204
139,Cyrus H McCormick Elementary School,"2712 S Sawyer Ave, Chicago, IL 60623",-1,62,64,71,-1,41.8419924,-87.70656199999999
140,Daniel Boone Elementary School,"6710 N Washtenaw Ave, Chicago, IL 60645",86,79,67,73,62,42.0036359,-87.6978915
141,Daniel C Beard Elementary School,"6445 W Strong St, Chicago, IL 60656",-1,92,83,99,-1,41.9698878,-87.79029419999999
142,Daniel Hale Williams Prep School of Medicine,"4934 S Wabash Ave, Chicago, IL 60615",88,89,80,95,62,41.804644,-87.62550030000001
143,Daniel J Corkery Elementary School,"2510 S Kildare Ave, Chicago, IL 60623",64,54,46,70,35,41.8456062,-87.7322743
144,Daniel R Cameron Elementary School,"1234 N Monticello Ave, Chicago, IL 60651",95,68,63,65,58,41.9040722,-87.7182183
145,Daniel S Wentworth Elementary School,"1340 W 71st St, Chicago, IL 60636",67,37,48,43,33,41.7653931,-87.6583442
146,Daniel Webster Elementary School,"4055 W Arthington St, Chicago, IL 60624",82,52,52,45,85,41.8697045,-87.7270353
147,David G Farragut Career Academy High School,"2345 S Christiana Ave, Chicago, IL 60623",70,55,50,54,58,41.84955069999999,-87.70817869999999
148,DeVry University Advantage Academy HS,"3300 N Campbell Ave, Chicago, IL 60618",85,92,82,-1,85,41.94178369999999,-87.6920097
149,DeWitt Clinton Elementary School,"6110 N Fairfield Ave, Chicago, IL 60659",98,79,71,80,94,41.9924651,-87.69870689999999
150,Dewey Elementary Academy of Fine Arts,"5415 S Union Ave, Chicago, IL 60609",91,78,74,74,80,41.795945,-87.6423502
151,Disney II Magnet High School,"3900 N Lawndale Ave, Chicago, IL 60618",74,76,58,93,58,41.9522637,-87.72047649999999
152,Disney II Magnet School,"3815 N Kedvale Ave, Chicago, IL 60641",92,86,67,94,68,41.95044490000001,-87.730344
153,Donald Morrill Math & Science Elementary School,"6011 S Rockwell St, Chicago, IL 60629",44,21,15,35,31,41.78402759999999,-87.68823270000001
154,Douglas Taylor Elementary School,"9912 S Avenue H, Chicago, IL 60617",46,32,8,51,33,41.7153667,-87.5333265
155,Dr Martin Luther King Jr College Prep HS,"4445 S Drexel Blvd, Chicago, IL 60653",81,41,39,53,56,41.8138791,-87.6027457
156,Dr Jorge Prieto Math and Science,"2231 N Central Ave, Chicago, IL 60639",65,46,39,51,26,41.9209951,-87.76517609999999
157,Dr. Martin L. King Jr Academy of Social Justice,"644 W 71st St, Chicago, IL 60621",52,42,45,29,47,41.7655897,-87.6413094
158,Dunne Technology Academy,"10845 S Union Ave, Chicago, IL 60628",99,84,68,71,99,41.6964204,-87.6397648
159,Durkin Park Elementary School,"8445 S Kolin Ave, Chicago, IL 60652",74,67,68,75,47,41.7390682,-87.72942069999999
160,Dvorak Technology Academy,"3615 W 16th St, Chicago, IL 60623",90,71,62,46,67,41.858617,-87.7154932
161,EPIC Academy Charter High School,"8255 S Houston Ave, Chicago, IL 60617",87,59,57,60,63,41.7449115,-87.5497448
162,Edgar Allan Poe Elementary Classical School,"10538 S Langley Ave, Chicago, IL 60628",90,60,46,89,49,41.7023697,-87.60675789999999
163,Edgebrook Elementary School,"6525 N Hiawatha Ave, Chicago, IL 60646",70,58,63,70,57,41.9997272,-87.7607268
164,Edison Park Elementary School,"6220 N Olcott Ave, Chicago, IL 60631",69,35,49,72,56,41.99394410000001,-87.8141481
165,Edmond Burke Elementary School,"5356 S King Dr, Chicago, IL 60615",74,66,60,58,59,41.7971159,-87.6165188
166,Edward A Bouchet Math & Science Academy ES,"7355 S Jeffery Blvd, Chicago, IL 60649",96,87,71,77,69,41.7611937,-87.5755002
167,Edward Beasley Elementary Magnet Academic Center,"5255 S State St, Chicago, IL 60609",82,70,51,78,45,41.7990451,-87.6250366
168,Edward Coles Elementary Language Academy,"8441 S Yates Blvd, Chicago, IL 60617",87,56,48,36,36,41.7414697,-87.5652307
169,Edward Everett Elementary School,"3419 S Bell Ave, Chicago, IL 60608",-1,83,71,90,-1,41.8317132,-87.6811453
170,Edward Jenner Elementary Academy of the Arts,"1119 N Cleveland Ave, Chicago, IL 60610",53,34,30,45,40,41.9021258,-87.6408307
171,Edward K Ellington Elementary School,"243 N Parkside Ave, Chicago, IL 60644",92,66,63,59,95,41.8855384,-87.7663785
172,Edward N Hurley Elementary School,"3849 W 69th Pl, Chicago, IL 60629",60,62,48,66,38,41.7663724,-87.71880089999999
173,Edward Tilden Career Community Academy HS,"4747 S Union Ave, Chicago, IL 60609",61,72,60,43,49,41.8075106,-87.6424668
174,Edward White Elementary Career Academy,"1136 W 122nd St, Chicago, IL 60643",69,53,52,50,44,41.6727619,-87.65025159999999
175,Edwin G. Foreman College and Career Academy,"3235 N Leclaire Ave, Chicago, IL 60641",73,35,23,39,59,41.93958689999999,-87.7532676
176,Eli Whitney Elementary School,"2815 S Komensky Ave, Chicago, IL 60623",64,46,39,52,39,41.8400368,-87.7253424
177,Eliza Chappell Elementary School,"2135 W Foster Ave, Chicago, IL 60625",80,80,77,94,60,41.9750589,-87.6833838
178,Elizabeth H Sutherland Elementary School,"10015 S Leavitt St, Chicago, IL 60643",59,58,65,81,41,41.7113421,-87.67652819999999
179,Ella Flagg Young Elementary School,"1434 N Parkside Ave, Chicago, IL 60651",71,64,58,74,39,41.90647209999999,-87.7674863
180,Ellen H Richards Career Academy High School,"5009 S Laflin St, Chicago, IL 60609",46,50,59,37,42,41.8027526,-87.6620432
181,Ellen Mitchell Elementary School,"2233 W Ohio St, Chicago, IL 60612",87,91,81,94,72,41.8919042,-87.68342349999999
182,Emil G Hirsch Metropolitan High School,"7740 S Ingleside Ave, Chicago, IL 60619",78,55,44,51,80,41.75397479999999,-87.601897
183,Emiliano Zapata Elementary Academy,"2728 S Kostner Ave, Chicago, IL 60623",92,71,71,73,69,41.8417006,-87.7349604
184,Emmett Louis Till Math and Science Academy,"6543 S Champlain Ave, Chicago, IL 60637",93,71,58,60,87,41.7759579,-87.6090724
185,Enrico Tonti Elementary School,"5815 S Homan Ave, Chicago, IL 60629",-1,38,38,46,-1,41.7873628,-87.70779379999999
186,Eric Solorio Academy High School,"5400 S St Louis Ave, Chicago, IL 60632",80,81,70,64,70,41.795206,-87.7116427
187,Erie Elementary Charter School,"1405 N Washtenaw Ave, Chicago, IL 60622",47,38,33,44,33,41.9070034,-87.69411889999999
188,Ernst Prussing Elementary School,"4650 N Menard Ave, Chicago, IL 60630",62,53,51,63,34,41.965711,-87.7731336
189,Esmond Elementary School,"1865 W Montvale Ave, Chicago, IL 60643",80,75,71,81,42,41.6892972,-87.6693248
190,Eugene Field Elementary School,"7019 N Ashland Ave, Chicago, IL 60626",87,91,74,81,47,42.00973279999999,-87.66956019999999
191,Everett McKinley Dirksen Elementary School,"8601 W Foster Ave, Chicago, IL 60656",48,56,55,55,31,41.97310590000001,-87.8418524
192,Evergreen Academy Middle School,"3537 S Paulina St, Chicago, IL 60609",97,92,93,87,69,41.8289489,-87.66759119999999
193,Fairfield Elementary Academy,"6201 S Fairfield Ave, Chicago, IL 60629",63,32,39,48,32,41.7806706,-87.6916246
194,Federico Garcia Lorca Elementary School,"3231 N Springfield Ave, Chicago, IL 60618",75,64,58,62,52,41.9400245,-87.724265
195,Ferdinand Peck Elementary School,"3826 W 58th St, Chicago, IL 60629",-1,85,75,92,-1,41.7881371,-87.7194166
196,Fernwood Elementary School,"10041 S Union Ave, Chicago, IL 60628",91,67,65,56,93,41.71107,-87.640153
197,Florence Nightingale Elementary School,"5250 S Rockwell St, Chicago, IL 60632",75,57,60,73,50,41.7981868,-87.68941559999999
198,Fort Dearborn Elementary School,"9025 S Throop St, Chicago, IL 60620",71,50,47,30,43,41.72988350000001,-87.6551073
199,Foster Park Elementary School,"8530 S Wood St, Chicago, IL 60620",89,58,54,67,89,41.7386679,-87.66847729999999
200,Foundations College Preparatory Charter School,"1233 W 109th Pl, Chicago, IL 60643",90,69,65,51,45,41.694687,-87.65310339999999
201,Francis M McKay Elementary School,"6901 S Fairfield Ave, Chicago, IL 60629",88,76,68,60,43,41.7677443,-87.6915121
202,Francis W Parker Elementary Community Academy,"6800 S Stewart Ave, Chicago, IL 60621",78,81,65,60,36,41.7708441,-87.63258569999999
203,Francisco I Madero Middle School,"3202 W 28th St, Chicago, IL 60623",86,84,85,75,53,41.8416567,-87.705321
204,Frank I Bennett Elementary School,"10115 S Prairie Ave, Chicago, IL 60628",97,68,67,54,45,41.7103687,-87.6169695
205,Frank L Gillespie Elementary School,"9301 S State St, Chicago, IL 60619",83,66,62,60,69,41.7252002,-87.6231245
206,Frank W Gunsaulus Elementary Scholastic Academy,"4420 S Sacramento Ave, Chicago, IL 60632",80,76,56,84,54,41.8125187,-87.69978689999999
207,Frank W Reilly Elementary School,"3650 W School St, Chicago, IL 60618",57,33,32,55,41,41.9413151,-87.7190318
208,Franklin Elementary Fine Arts Center,"225 W Evergreen Ave, Chicago, IL 60610",73,63,50,82,40,41.9062407,-87.6356041
209,Franz Peter Schubert Elementary School,"2727 N Long Ave, Chicago, IL 60639",-1,60,53,80,-1,41.9300492,-87.7607268
210,Frazier Preparatory Academy Charter School,"3711 W Douglas Blvd, Chicago, IL 60623",46,18,19,31,14,41.8618541,-87.7183391
211,Frazier Prospective IB Magnet ES,"4027 W Grenshaw St, Chicago, IL 60624",89,68,52,64,62,41.8667787,-87.7261504
212,Frederic Chopin Elementary School,"2450 W Rice St, Chicago, IL 60622",41,45,52,50,18,41.8970449,-87.6885052
213,Frederick A Douglass Academy High School,"543 N Waller Ave, Chicago, IL 60644",74,79,61,56,71,41.8903432,-87.76733910000002
214,Frederick Funston Elementary School,"2010 N Central Park Ave, Chicago, IL 60647",72,47,43,61,58,41.9178435,-87.71715239999999
