,Address,Ambitious_Instruction,Collaborative_Teachers,Effective_Leaders,Involved_Families,Supportive_Environment
Blair Early Childhood Center,"6751 W 63rd Pl, Chicago, IL 60638",-1,73,81,86,-1
Bowen High School,"2710 E 89th St, Chicago, IL 60617",58,47,48,67,45
Bret Harte Elementary School,"1556 E 56th St, Chicago, IL 60637",70,53,54,67,46
Brian Piccolo Elementary Specialty School,"1040 N Keeler Ave, Chicago, IL 60651",83,79,74,55,71
Bridgescape Academy Brainerd,"8908 S Ashland Ave, Chicago, IL 60620",50,-1,-1,-1,53
Bridgescape Academy Humboldt Park,"2421 W Division, Chicago, IL 60622",44,49,37,-1,71
Bridgescape Academy Lawndale,"230 N Kolmar Ave, Chicago, IL 60624",44,-1,-1,-1,50
Bridgescape Academy Roseland,"10928 S Halsted Ave, Chicago, IL 60661",46,-1,-1,-1,64
Brighton Park Elementary School,"3825 S Washtenaw Ave, Chicago, IL 60632",52,46,57,42,25
Bronzeville Scholastic Academy High School,"4934 S Wabash Ave, Chicago, IL 60615",71,24,24,30,43
Burnham Elementary Inclusive Academy,"9928 S Crandon Ave, Chicago, IL 60617",70,31,42,50,45
Burnside Elementary Scholastic Academy,"650 E 91st Pl, Chicago, IL 60619",81,44,49,46,59
CICS - Avalon/South Shore,"1501 E 83rd Pl, Chicago, IL 60619",92,58,60,46,40
CICS - Basil,"1816 W Garfield Blvd, Chicago, IL 60609",71,47,39,31,44
CICS - Bucktown,"2235 N Hamilton Ave, Chicago, IL 60647",71,82,68,80,49
CICS - ChicagoQuest North,"1443 N Ogden Ave, Chicago, IL 60610",89,82,53,76,72
CICS - Irving Park,"3820 N Spaulding Ave, Chicago, IL 60618",59,76,58,72,58
CICS - Lloyd Bond,"13300 S Langley Ave, Chicago, IL 60827",74,54,48,33,49
CICS - Longwood,"1309 W 95th St, Chicago, IL 60643",41,64,61,47,12
CICS - Loomis Primary,"9535 S Loomis St, Chicago, IL 60643",-1,53,64,50,-1
CICS - Northtown,"3900 W Peterson Ave, Chicago, IL 60659",88,94,89,93,83
CICS - Prairie,"11530 S Prairie Ave, Chicago, IL 60628",32,51,47,49,30
CICS - Ralph Ellison,"1817 W 80th St, Chicago, IL 60620",77,52,53,56,58
CICS - Washington Park,"110 E 61st St, Chicago, IL 60637",94,61,47,41,48
CICS - West Belden,"2245 N Mcvicker Ave, Chicago, IL 60639",73,68,47,78,64
CICS - Wrightwood,"8130 S California Ave, Chicago, IL 60652",80,86,73,80,36
Calmeca Academy of Fine Arts and Dual Language,"3456 W 38th St, Chicago, IL 60632",74,64,61,75,64
Camelot - Chicago Excel Academy,"1257 W 111th St, Chicago, IL 60643",82,69,38,48,63
Camelot Excel - Englewood HS,"7141 S Morgan, Chicago, IL 60621",92,73,66,43,77
Camelot Excel - Southwest HS,"7014 S Washtenaw Ave, Chicago, IL 60629",82,72,-1,-1,72
Camelot Safe Academy ES and HS,"7877 S Coles Ave, Chicago, IL 60649",99,99,87,-1,83
Carl Schurz High School,"3601 N Milwaukee Ave, Chicago, IL 60641",67,54,47,45,51
Carl von Linne Elementary School,"3221 N Sacramento Ave, Chicago, IL 60618",98,80,75,82,75
Carrie Jacobs Bond Elementary School,"7050 S May St, Chicago, IL 60621",78,30,29,36,91
Carroll-Rosenwald Specialty Elementary School,"2929 W 83rd St, Chicago, IL 60652",99,86,73,93,92
Carter G Woodson South Elementary School,"4414 S Evans Ave, Chicago, IL 60653",90,46,43,53,61
Catalyst Elementary Charter School - Circle Rock,"5608 W Washington Blvd, Chicago, IL 60644",92,72,68,68,61
Catalyst Maria Charter Elementary School,"6727 S California Ave, Chicago, IL 60629",57,64,55,68,31
Catalyst Maria Charter High School,"6727 S California Ave, Chicago, IL 60629",61,47,49,61,50
Cesar E Chavez Multicultural Academic Center ES,"4747 S Marshfield Ave, Chicago, IL 60609",70,69,69,69,51
Charles Allen Prosser Career Academy High School,"2148 N Long Ave, Chicago, IL 60639",86,55,36,55,65
Charles Evans Hughes Elementary School,"4247 W 15th St, Chicago, IL 60623",81,57,58,46,54
Charles G Hammond Elementary School,"2819 W 21st Pl, Chicago, IL 60623",49,50,52,67,36
Charles Gates Dawes Elementary School,"3810 W 81st Pl, Chicago, IL 60652",93,82,72,70,57
Charles H Wacker Elementary School,"9746 S Morgan St, Chicago, IL 60643",89,42,43,53,82
Charles Kozminski Elementary Community Academy,"936 E 54th St, Chicago, IL 60615",63,60,56,66,35
Charles N Holden Elementary School,"1104 W 31st St, Chicago, IL 60608",77,53,39,55,58
Charles P Caldwell Academy of Math & Science ES,"8546 S Cregier Ave, Chicago, IL 60617",96,75,75,81,88
Charles P Steinmetz College Preparatory HS,"3030 N Mobile Ave, Chicago, IL 60634",69,80,60,82,50
Charles R Darwin Elementary School,"3116 W Belden Ave, Chicago, IL 60647",75,64,57,66,60
Charles R Henderson Elementary School,"5650 S Wolcott Ave, Chicago, IL 60636",78,56,57,44,44
Charles S Brownell Elementary School,"6741 S Michigan Ave, Chicago, IL 60637",69,40,42,-1,52
Charles S Deneen Elementary School,"7240 S Wabash Ave, Chicago, IL 60619",97,75,65,78,84
Charles Sumner Math & Science Community Acad ES,"4320 W 5th Ave, Chicago, IL 60624",77,68,63,71,42
Charles W Earle Elementary School,"2040 W 62nd St, Chicago, IL 60636",55,35,37,49,34
Chicago Academy Elementary School,"3400 N Austin Ave, Chicago, IL 60634",75,59,54,63,46
Chicago Academy High School,"3400 N Austin Ave, Chicago, IL 60634",76,60,54,52,57
Chicago Collegiate Charter School,"11816 S Indiana, Chicago, IL 60628",45,43,40,45,25
Chicago High School for Agricultural Sciences,"3857 W 111th St, Chicago, IL 60655",64,74,66,86,63
Chicago High School for the Arts (ChiArts),"2714 W Augusta Blvd, Chicago, IL 60622",70,34,24,53,60
Chicago Math and Science Academy Charter School,"7212 N Clark St, Chicago, IL 60626",75,60,53,65,53
Chicago Military Academy High School,"3519 S Giles Ave, Chicago, IL 60653",75,54,60,67,44
Chicago Technology Academy High School,"1301 W 14th St, Chicago, IL 60608",65,78,64,67,64
Chicago Virtual Charter School,"38 S Peoria St, Chicago, IL 60607",57,57,43,60,59
Chicago Vocational Career Academy High School,"2100 E 87th St, Chicago, IL 60617",82,60,56,60,55
Christian Ebinger Elementary School,"7350 W Pratt Ave, Chicago, IL 60631",81,85,76,95,60
