,Address,Ambitious_Instruction,Collaborative_Teachers,Effective_Leaders,Involved_Families,Supportive_Environment
Jacob Beidler Elementary School,"3151 W Walnut St, Chicago, IL 60612",92,63,53,61,84
Jacqueline B Vaughn Occupational High School,"4355 N Linder Ave, Chicago, IL 60641",73,86,70,91,57
James B Farnsworth Elementary School,"5414 N Linder Ave, Chicago, IL 60630",60,84,76,89,38
James B McPherson Elementary School,"4728 N Wolcott Ave, Chicago, IL 60640",75,84,70,81,51
James E McDade Elementary Classical School,"8801 S Indiana Ave, Chicago, IL 60619",41,-1,-1,-1,17
James G Blaine Elementary School,"1420 W Grace St, Chicago, IL 60613",66,64,68,89,43
James Hedges Elementary School,"4747 S Winchester Ave, Chicago, IL 60609",50,37,28,50,22
James Madison Elementary School,"7433 S Dorchester Ave, Chicago, IL 60619",80,63,61,62,57
James Monroe Elementary School,"3651 W Schubert Ave, Chicago, IL 60647",65,66,58,63,39
James N Thorp Elementary School,"8914 S Buffalo Ave, Chicago, IL 60617",82,48,49,53,67
James Otis Elementary School,"525 N Armour St, Chicago, IL 60622",66,45,30,53,43
James R Doolittle Jr Elementary School,"535 E 35th St, Chicago, IL 60616",49,31,22,15,22
James Russell Lowell Elementary School,"3320 W Hirsch St, Chicago, IL 60651",65,72,60,75,49
James Shields Elementary School,"4250 S Rockwell St, Chicago, IL 60632",-1,70,61,72,-1
James Shields Middle School,"2611 W 48th St, Chicago, IL 60632",80,88,80,65,38
James Wadsworth Elementary School,"6650 S Ellis Ave, Chicago, IL 60637",86,52,52,47,60
James Ward Elementary School,"2701 S Shields Ave, Chicago, IL 60616",59,70,69,84,37
James Weldon Johnson Elementary School,"1420 S Albany Ave, Chicago, IL 60623",89,83,66,51,58
Jane A Neil Elementary School,"8555 S Michigan Ave, Chicago, IL 60619",60,50,44,49,35
Jane Addams Elementary School,"10810 S Avenue H, Chicago, IL 60617",72,68,48,66,47
Jean Baptiste Beaubien Elementary School,"5025 N Laramie Ave, Chicago, IL 60630",78,58,63,74,57
Jensen Elementary Scholastic Academy,"3030 W Harrison St, Chicago, IL 60612",-1,67,57,64,-1
Jesse Owens Elementary Community Academy,"12302 S State St, Chicago, IL 60628",90,67,61,59,84
Jesse Sherwood Elementary School,"245 W 57th St, Chicago, IL 60621",94,63,56,77,85
Johann W von Goethe Elementary School,"2236 N Rockwell St, Chicago, IL 60647",64,74,66,83,36
John A Walsh Elementary School,"2015 S Peoria St, Chicago, IL 60608",66,61,42,73,33
John B Drake Elementary School,"2710 S Dearborn St, Chicago, IL 60616",89,80,74,86,84
John B Murphy Elementary School,"3539 W Grace St, Chicago, IL 60618",88,37,38,67,75
John Barry Elementary School,"2828 N Kilbourn Ave, Chicago, IL 60641",67,59,59,66,41
John C Burroughs Elementary School,"3542 S Washtenaw Ave, Chicago, IL 60632",77,72,69,67,59
John C Coonley Elementary School,"4046 N Leavitt St, Chicago, IL 60618",73,78,69,98,56
John C Dore Elementary School,"6108 S Natoma Ave, Chicago, IL 60638",73,72,60,80,37
John Charles Haines Elementary School,"247 W 23rd Pl, Chicago, IL 60616",61,54,54,71,52
John D Shoop Math-Science Technical Academy ES,"11140 S Bishop St, Chicago, IL 60643",93,67,66,53,89
John F Eberhart Elementary School,"3400 W 65th Pl, Chicago, IL 60629",87,49,57,62,52
John F Kennedy High School,"6325 W 56th St, Chicago, IL 60638",71,42,30,57,50
John Fiske Elementary School,"6020 S Langley Ave, Chicago, IL 60637",99,95,90,99,85
John Foster Dulles Elementary School,"6311 S Calumet Ave, Chicago, IL 60637",79,53,55,47,66
John Greenleaf Whittier Elementary School,"1900 W 23rd St, Chicago, IL 60608",84,87,76,97,56
John H Hamline Elementary School,"4747 S Bishop St, Chicago, IL 60609",47,37,28,46,29
John H Kinzie Elementary School,"5625 S Mobile Ave, Chicago, IL 60638",85,88,72,89,64
John H Vanderpoel Elementary Magnet School,"9510 S Prospect Ave, Chicago, IL 60643",64,39,30,64,60
John Hancock College Preparatory High School,"4034 W 56th St, Chicago, IL 60629",91,78,74,78,71
John Harvard Elementary School of Excellence,"7525 S Harvard, Chicago, IL 60620",64,69,66,48,35
John Hay Elementary Community Academy,"1018 N Laramie Ave, Chicago, IL 60651",78,69,57,62,31
John J Audubon Elementary School,"3500 N Hoyne Ave, Chicago, IL 60618",66,64,50,78,59
John J Pershing Elementary Humanities Magnet,"3200 S Calumet Ave, Chicago, IL 60616",95,67,50,69,77
John L Marsh Elementary School,"9822 S Exchange Ave, Chicago, IL 60617",71,50,53,60,54
John M Harlan Community Academy High School,"9652 S Michigan Ave, Chicago, IL 60628",64,32,31,39,48
John Marshall Metropolitan High School,"3250 W Adams St, Chicago, IL 60624",90,75,56,81,80
John Milton Gregory Elementary School,"3715 W Polk St, Chicago, IL 60624",81,76,70,49,60
John Palmer Elementary School,"5051 N Kenneth Ave, Chicago, IL 60630",73,51,54,69,57
John Spry Elementary Community School,"2400 S Marshall Blvd, Chicago, IL 60623",66,49,46,62,42
John T McCutcheon Elementary School,"4865 N Sheridan Rd, Chicago, IL 60640",98,75,70,63,89
John T Pirie Fine Arts & Academic Center ES,"650 E 85th St, Chicago, IL 60619",79,73,61,61,47
John W Cook Elementary School,"8150 S Bishop St, Chicago, IL 60620",75,48,11,40,51
John W Garvy Elementary School,"5225 N Oak Park Ave, Chicago, IL 60656",67,55,52,71,44
John Whistler Elementary School,"11533 S Ada St, Chicago, IL 60643",85,62,65,79,60
Johnnie Colemon Elementary Academy,"1441 W 119th St, Chicago, IL 60643",96,82,73,79,67
Jonathan Burr Elementary School,"1621 W Wabansia Ave, Chicago, IL 60622",94,84,76,88,80
Jonathan Y Scammon Elementary School,"4201 W Henderson St, Chicago, IL 60641",77,52,56,62,47
Jordan Elementary Community School,"7414 N Wolcott Ave, Chicago, IL 60626",62,39,39,48,41
Jose De Diego Elementary Community Academy,"1313 N Claremont Ave, Chicago, IL 60622",69,75,67,75,42
Josefa Ortiz De Dominguez Elementary School,"3000 S Lawndale Ave, Chicago, IL 60623",-1,56,66,70,-1
Joseph Brennemann Elementary School,"4251 N Clarendon Ave, Chicago, IL 60613",-1,70,72,68,-1
Joseph E Gary Elementary School,"3740 W 31st St, Chicago, IL 60623",78,55,47,70,52
Joseph Jungman Elementary School,"1746 S Miller St, Chicago, IL 60608",93,57,60,64,87
Joseph Kellman Corporate Community ES,"3030 W Arthington St, Chicago, IL 60612",71,65,46,72,33
Joseph Lovett Elementary School,"6333 W Bloomingdale Ave, Chicago, IL 60639",92,68,56,78,59
Joseph Warren Elementary School,"9239 S Jeffery Ave, Chicago, IL 60617",88,64,61,46,66
Josephine C Locke Elementary School,"2828 N Oak Park Ave, Chicago, IL 60634",91,79,68,84,68
Joshua D Kershaw Elementary School,"6450 S Lowe Ave, Chicago, IL 60621",72,65,58,73,46
Josiah Pickard Elementary School,"2301 W 21st Pl, Chicago, IL 60608",78,81,80,93,59
Joyce Kilmer Elementary School,"6700 N Greenview Ave, Chicago, IL 60626",97,57,50,75,79
Julia Ward Howe Elementary School of Excellence,"720 N Lorel Ave, Chicago, IL 60644",75,32,38,27,41
KIPP Academy Chicago Campus,"4818 W Ohio St, Chicago, IL 60644",95,93,85,68,65
KIPP Ascend Charter School,"1616 S Avers Ave, Chicago, IL 60623",86,58,48,54,45
KIPP Chicago Charter School - KIPP Bloom,"5515 S Lowe Ave, Chicago, IL 60621",87,72,67,69,40
KIPP One Academy,"730 N Pulaski Rd, Chicago, IL 60624",99,86,72,78,94
Kate S Kellogg Elementary School,"9241 S Leavitt St, Chicago, IL 60620",88,78,68,82,70
Kelvyn Park High School,"4343 W Wrightwood Ave, Chicago, IL 60639",59,72,43,52,48
Kenwood Academy High School,"5015 S Blackstone Ave, Chicago, IL 60615",98,80,72,91,74
Kwame Nkrumah Academy Charter School,"314 W 108th St, Chicago, IL 60628",56,22,24,28,13
L.E.A.R.N. - 7th Campus,"3021 W Carroll Ave, Chicago, IL 60612",-1,47,53,51,-1
L.E.A.R.N. - Charles and Dorothy Campbell Campus,"212 S Francisco Ave, Chicago, IL 60612",-1,95,89,97,-1
L.E.A.R.N. - Excel Campus,"3021 W Carroll Ave, Chicago, IL 60612",-1,92,87,98,-1
L.E.A.R.N. - Hunter Perkins Campus,"1700 W. 83rd Street, Chicago, IL 60620",67,78,79,70,40
L.E.A.R.N. - Middle School Campus,"3021 W Carroll Ave, Chicago, IL 60612",78,61,72,36,34
L.E.A.R.N. - Romano Butler Campus,"1132 S Homan Ave, Chicago, IL 60624",71,51,52,41,36
L.E.A.R.N. - South Chicago Campus,"8914 S. Buffalo Avenue, Chicago, IL 60617",85,55,49,42,33
LaSalle Elementary Language Academy,"1734 N Orleans St, Chicago, IL 60614",81,55,39,73,67
LaSalle II Magnet Elementary School,"1148 N Honore St, Chicago, IL 60622",70,77,73,80,48
Lake View High School,"4015 N Ashland Ave, Chicago, IL 60613",52,48,30,51,44
Langston Hughes Elementary School,"240 W 104th St, Chicago, IL 60628",75,65,59,58,33
Laughlin Falconer Elementary School,"3020 N Lamon Ave, Chicago, IL 60641",81,69,62,66,65
Laura S Ward Elementary School,"646 N Lawndale Ave, Chicago, IL 60624",96,61,59,69,57
Lawndale Elementary Community Academy,"3500 W Douglas Blvd, Chicago, IL 60623",78,52,40,44,37
Lazaro Cardenas Elementary School,"2345 S Millard Ave, Chicago, IL 60623",-1,71,73,68,-1
Legacy Charter School,"3318 West Ogden Ave, Chicago, IL 60623",79,54,55,58,53
Legal Prep Charter Academy,"4319 W Washington Blvd, Chicago, IL 60612",64,67,67,53,48
Leif Ericson Elementary Scholastic Academy,"3600 W 5th Ave, Chicago, IL 60624",77,52,63,62,32
Lenart Elementary Regional Gifted Center,"8101 S Lasalle St, Chicago, IL 60620",46,43,52,83,45
Leslie Lewis Elementary School,"1431 N Leamington Ave, Chicago, IL 60651",99,96,88,82,75
Lillian R. Nicholson STEM Academy,"6006 S Peoria St, Chicago, IL 60621",-1,16,10,29,-1
Lincoln Park High School,"2001 N Orchard St, Chicago, IL 60614",80,-1,-1,-1,49
Lionel Hampton Fine & Performing Arts ES,"3434 W 77th St, Chicago, IL 60652",46,66,49,59,22
Little Black Pearl Art and Design Academy,"1060 E 47th St, Chicago, IL 60653",92,-1,-1,-1,63
Little Village Elementary School,"2620 S Lawndale Ave, Chicago, IL 60623",60,59,63,55,46
Logandale Middle School,"3212 W George St, Chicago, IL 60618",64,73,63,69,44
Lorenz Brentano Math & Science Academy ES,"2723 N Fairfield Ave, Chicago, IL 60647",80,68,63,78,38
Louis A Agassiz Elementary School,"2851 N Seminary Ave, Chicago, IL 60657",83,95,78,96,68
Louis Nettelhorst Elementary School,"3252 N Broadway St, Chicago, IL 60657",43,48,48,77,31
Louis Pasteur Elementary School,"5825 S Kostner Ave, Chicago, IL 60629",-1,59,50,66,-1
Louisa May Alcott College Preparatory ES,"2625 N Orchard St, Chicago, IL 60614",67,61,53,93,39
Louisa May Alcott College Preparatory HS,"2957 N Hoyne Ave, Chicago, IL 60618",88,95,90,99,77
Ludwig Van Beethoven Elementary School,"25 W 47th St, Chicago, IL 60609",77,39,31,63,38
Luke O'Toole Elementary School,"6550 S Seeley Ave, Chicago, IL 60636",86,72,60,55,59
Luther Burbank Elementary School,"2035 N Mobile Ave, Chicago, IL 60639",87,84,79,81,75
Lyman A Budlong Elementary School,"2701 W Foster Ave, Chicago, IL 60625",84,63,53,72,57
Mahalia Jackson Elementary School,"917 W 88th St, Chicago, IL 60620",59,55,41,52,44
Mancel Talcott Elementary School,"1840 W Ohio St, Chicago, IL 60622",67,70,47,71,45
Manley Career Academy High School,"2935 W Polk St, Chicago, IL 60612",75,69,65,64,41
Manuel Perez Elementary School,"1241 W 19th St, Chicago, IL 60608",99,83,73,84,92
Marcus Moziah Garvey Elementary School,"10309 S Morgan St, Chicago, IL 60643",75,83,77,75,46
Maria Saucedo Elementary Scholastic Academy,"2850 W 24th Blvd, Chicago, IL 60623",57,40,40,64,36
Mariano Azuela Elementary School,"4707 W Marquette Rd, Chicago, IL 60629",63,49,38,59,40
Marie Sklodowska Curie Metropolitan High School,"4959 S Archer Ave, Chicago, IL 60632",60,54,46,52,48
Marine Leadership Academy at Ames,"1920 N Hamlin Ave, Chicago, IL 60647",90,76,74,80,63
Mark Sheridan Math & Science Academy,"533 W 27th St, Chicago, IL 60616",57,63,52,62,43
Mark Skinner Elementary School,"1260 W Adams St, Chicago, IL 60607",67,-1,-1,-1,42
Mark Twain Elementary School,"5134 S Lotus Ave, Chicago, IL 60638",58,54,60,54,34
Marquette Elementary School,"6550 S Richmond St, Chicago, IL 60629",77,52,44,53,45
Martha Ruggles Elementary School,"7831 S Prairie Ave, Chicago, IL 60619",92,70,57,65,62
Marvin Camras Elementary School,"3000 N Mango Ave, Chicago, IL 60634",62,71,52,61,47
Mary E Courtenay Elementary Language Arts Center,"4420 N Beacon St, Chicago, IL 60640",75,58,51,63,48
Mary E McDowell Elementary School,"1419 E 89th St, Chicago, IL 60619",-1,79,83,62,-1
Mary Gage Peterson Elementary School,"5510 N Christiana Ave, Chicago, IL 60625",72,61,63,64,51
Mary Lyon Elementary School,"2941 N Mcvicker Ave, Chicago, IL 60634",55,69,63,71,31
Matthew Gallistel Elementary Language Academy,"10347 S Ewing Ave, Chicago, IL 60617",72,65,62,75,54
Medgar Evers Elementary School,"9811 S Lowe Ave, Chicago, IL 60628",87,85,68,87,45
Melville W Fuller Elementary School,"4214 S St Lawrence Ave, Chicago, IL 60653",91,60,57,43,83
Michael Faraday Elementary School,"3250 W Monroe St, Chicago, IL 60624",92,84,71,86,53
Michael M Byrne Elementary School,"5329 S Oak Park Ave, Chicago, IL 60638",61,61,54,69,36
Michele Clark Academic Prep Magnet High School,"5101 W Harrison St, Chicago, IL 60644",61,59,44,61,39
Mildred I Lavizzo Elementary School,"138 W 109th St, Chicago, IL 60628",83,72,61,69,47
Milton Brunson Math & Science Specialty ES,"932 N Central Ave, Chicago, IL 60651",68,75,59,62,26
Minnie Mars Jamieson Elementary School,"5650 N Mozart St, Chicago, IL 60659",71,70,70,81,43
Morgan Park High School,"1744 W Pryor Ave, Chicago, IL 60643",74,51,39,47,39
Morton School of Excellence,"431 N Troy St, Chicago, IL 60612",88,64,59,55,78
Mount Greenwood Elementary School,"10841 S Homan Ave, Chicago, IL 60655",98,91,80,94,98
Mount Vernon Elementary School,"10540 S Morgan St, Chicago, IL 60643",89,68,56,57,55
Moving Everest Charter School,"416 N Laramie Ave, Chicago, IL 60644",-1,59,66,35,-1
Multicultural Academy of Scholarship,"3120 S Kostner Ave, Chicago, IL 60623",60,59,47,64,52
Myra Bradwell Communications Arts & Sciences ES,"7736 S Burnham Ave, Chicago, IL 60649",73,41,51,29,50
Namaste Charter School,"3737 S Paulina St, Chicago, IL 60609",39,25,21,59,21
Nancy B Jefferson Alternative HS,"1100 S Hamilton Ave, Chicago, IL 60612",57,88,82,91,36
Nathan Hale Elementary School,"6140 S Melvina Ave, Chicago, IL 60638",79,65,60,60,56
Nathan S Davis Elementary School,"3014 W 39th Pl, Chicago, IL 60632",71,51,49,56,44
Nathanael Greene Elementary School,"3525 S Honore St, Chicago, IL 60609",-1,93,87,99,-1
National Teachers Elementary Academy,"55 W Cermak Rd, Chicago, IL 60616",89,75,74,84,57
Neal F Simeon Career Academy High School,"8147 S Vincennes Ave, Chicago, IL 60620",92,55,63,60,77
New Field Elementary School,"1707 W Morse Ave, Chicago, IL 60626",-1,67,63,85,-1
Newton Bateman Elementary School,"4220 N Richmond St, Chicago, IL 60618",74,74,68,77,56
Nicholas Senn High School,"5900 N Glenwood Ave, Chicago, IL 60660",68,53,38,58,52
Ninos Heroes Elementary Academic Center,"8344 S Commercial Ave, Chicago, IL 60617",63,57,52,49,22
Noble - Baker College Prep,"2710 E 89th St, Chicago, IL 60617",88,75,62,66,61
Noble - Butler College Prep,"821 E 103rd St, Chicago, IL 60628",87,35,41,51,66
Noble - Chicago Bulls College Prep,"2040 W Adams St, Chicago, IL 60612",94,63,51,50,74
Noble - DRW College Prep,"931 S Homan Ave, Chicago, IL 60624",76,30,26,41,56
Noble - Gary Comer College Prep High School,"7131 S South Chicago Ave, Chicago, IL 60619",81,47,39,66,63
Noble - Gary Comer College Prep Middle School,"1010 E 72nd St, Chicago, IL 60619",80,91,80,75,31
Noble - Golder College Prep,"1454 W Superior St, Chicago, IL 60642",89,45,40,55,73
Noble - Hansberry College Prep,"8748 S Aberdeen St, Chicago, IL 60620",89,64,49,65,49
Noble - ITW David Speer Academy,"5321 W Grand Ave, Chicago, IL 60639",78,59,47,63,70
Noble - John and Eunice Johnson College Prep,"6350 S Stewart Ave, Chicago, IL 60621",86,73,67,84,66
Noble - Mansueto High School,"2911 W 47th, Chicago, IL 60632",92,79,74,84,87
Noble - Muchin College Prep,"1 N State St, Chicago, IL 60602",94,65,52,86,69
Noble - Noble College Prep,"1010 N Noble St, Chicago, IL 60622",92,79,70,73,81
Noble - Pritzker College Prep,"4131 W Cortland St, Chicago, IL 60639",98,89,69,89,78
Noble - Rauner College Prep,"1337 W Ohio St, Chicago, IL 60642",99,70,65,79,77
Noble - Rowe-Clark Math and Science Academy,"3645 W Chicago Ave, Chicago, IL 60651",84,72,66,78,63
Noble - The Noble Academy,"17 N State St, Chicago, IL 60602",81,66,50,78,61
Noble - UIC College Prep,"1231 S Damen Ave, Chicago, IL 60608",90,72,65,66,74
Norman A Bridge Elementary School,"3800 N New England Ave, Chicago, IL 60634",53,63,52,69,33
North Lawndale College Prep - Christiana,"1615 S Christiana Ave, Chicago, IL 60623",88,87,63,53,49
North Lawndale College Prep - Collins,"1313 S Sacramento Dr, Chicago, IL 60623",77,77,56,77,44
North River Elementary School,"4416 N Troy St, Chicago, IL 60625",97,87,74,86,79
North-Grand High School,"4338 W Wabansia Ave, Chicago, IL 60639",70,89,84,83,62
Northside College Preparatory High School,"5501 N Kedzie Ave, Chicago, IL 60625",99,75,72,89,90
Northside Learning Center High School,"3730 W Bryn Mawr Ave, Chicago, IL 60659",93,73,62,96,75
Northwest Middle School,"5252 W Palmer St, Chicago, IL 60639",72,63,62,48,28
Norwood Park Elementary School,"5900 N Nina Ave, Chicago, IL 60631",64,65,64,87,60
Ogden International High School,"1250 W Erie St, Chicago, IL 60642",84,44,25,69,56
Ole A Thorp Elementary Scholastic Academy,"6024 W Warwick Ave, Chicago, IL 60634",47,52,43,74,38
Oliver S Westcott Elementary School,"409 W 80th St, Chicago, IL 60620",80,55,43,59,62
Oliver Wendell Holmes Elementary School,"955 W Garfield Blvd, Chicago, IL 60621",97,52,53,49,77
Ombudsman Chicago - Northwest,"7500 N Harlem Ave, Chicago, IL 60631",39,50,46,47,57
Ombudsman Chicago - South,"6057 S Western Ave, Chicago, IL 60636",60,75,70,66,52
Ombudsman Chicago - West,"2401 W Congress Pkwy, Chicago, IL 60612",57,49,31,31,51
Oriole Park Elementary School,"5424 N Oketo Ave, Chicago, IL 60656",63,75,65,89,59
Orozco Fine Arts & Sciences Elementary School,"1940 W 18th St, Chicago, IL 60608",58,46,41,51,36
Orr Academy High School,"730 N Pulaski Rd, Chicago, IL 60624",80,73,64,63,54
Orville T Bright Elementary School,"10740 S Calhoun Ave, Chicago, IL 60617",78,51,32,47,62
Oscar DePriest Elementary School,"139 S Parkside Ave, Chicago, IL 60644",85,68,58,63,51
Oscar F Mayer Elementary School,"2250 N Clifton Ave, Chicago, IL 60614",84,46,52,75,70
Pablo Casals Elementary School,"3501 W Potomac Ave, Chicago, IL 60651",97,63,54,68,80
Park Manor Elementary School,"7037 S Rhodes Ave, Chicago, IL 60637",82,61,66,53,65
Parkside Elementary Community Academy,"6938 S East End Ave, Chicago, IL 60649",93,68,63,58,84
Pathways in Education - Ashburn,"3284 W 87th St, Chicago, IL 60652",67,53,33,53,70
Pathways in Education - Avondale,"3100 W Belmont Ave, Chicago, IL 60618",37,31,18,17,62
Pathways in Education - Brighton Park,"3124 W 47th St, Chicago, IL 60632",57,53,22,36,62
Patrick Henry Elementary School,"4250 N Saint Louis Ave, Chicago, IL 60618",76,68,57,64,71
Paul Cuffe Math-Science Technology Academy ES,"8324 S Racine Ave, Chicago, IL 60620",98,71,69,66,95
Paul Laurence Dunbar Career Academy High School,"3000 S King Dr, Chicago, IL 60616",83,80,66,87,55
Paul Revere Elementary School,"1010 E 72nd St, Chicago, IL 60619",50,47,53,57,30
Paul Robeson High School,"6835 S Normal Blvd, Chicago, IL 60621",92,82,62,77,77
Peace & Education Coalition HS,"4946 S Paulina St, Chicago, IL 60609",74,80,62,37,61
Percy L Julian High School,"10330 S Elizabeth St, Chicago, IL 60643",98,86,62,78,69
Perkins Bass Elementary School,"1140 W 66th St, Chicago, IL 60621",95,79,65,71,86
Perspectives - High School of Technology,"8131 S May St., Chicago, IL 60620",70,58,47,43,52
Perspectives - Leadership Academy,"8131 South May Street, Chicago, IL 60620",69,62,55,44,49
Perspectives - Math and Science Academy,"3663 S. Wabash Avenue, Chicago, IL 60653",64,53,52,60,36
Perspectives - Rodney D. Joslin,"1930 S Archer Ave, Chicago, IL 60616",66,37,33,44,50
Peter A Reinberg Elementary School,"3425 N Major Ave, Chicago, IL 60634",67,37,37,47,49
Peter Cooper Elementary Dual Language Academy,"1624 W 19th St, Chicago, IL 60608",-1,70,58,71,-1
Philip Rogers Elementary School,"7345 N Washtenaw Ave, Chicago, IL 60645",77,83,81,86,53
Phillip D Armour Elementary School,"950 W 33rd Pl, Chicago, IL 60608",74,69,64,87,46
Phillip Murray Elementary Language Academy,"5335 S Kenwood Ave, Chicago, IL 60615",70,32,35,53,37
Phoebe Apperson Hearst Elementary School,"4640 S Lamon Ave, Chicago, IL 60638",53,26,22,38,45
Phoenix Military Academy High School,"145 S Campbell Ave, Chicago, IL 60612",92,81,66,94,68
Pilsen Elementary Community Academy,"1420 W 17th St, Chicago, IL 60608",63,62,54,59,50
Plato Learning Academy,"5545 W Harrison St, Chicago, IL 60644",62,53,49,61,32
Polaris Charter Academy,"620 N Sawyer Ave, Chicago, IL 60624",91,81,66,65,79
Portage Park Elementary School,"5330 W Berteau Ave, Chicago, IL 60641",78,74,62,81,63
Providence Englewood Charter School,"6515 S Ashland Ave, Chicago, IL 60636",52,40,50,33,33
Pulaski International School of Chicago,"2230 W Mclean Ave, Chicago, IL 60647",68,55,54,79,55
Rachel Carson Elementary School,"5516 S Maplewood Ave, Chicago, IL 60629",34,32,28,55,14
Ralph H Metcalfe Elementary Community Academy,"12339 S Normal Ave, Chicago, IL 60628",79,70,57,53,53
Ravenswood Elementary School,"4332 N Paulina St, Chicago, IL 60613",87,85,67,85,57
Ray Graham Training Center High School,"2347 S Wabash Ave, Chicago, IL 60616",90,78,81,86,65
Richard Edwards Elementary School,"4815 S Karlov Ave, Chicago, IL 60632",89,64,51,71,68
Richard Henry Lee Elementary School,"6448 S Tripp Ave, Chicago, IL 60629",86,91,77,90,68
Richard J Daley Elementary Academy,"5024 S Wolcott Ave, Chicago, IL 60609",38,42,32,47,19
Richard J Oglesby Elementary School,"7646 S Green St, Chicago, IL 60620",50,21,25,28,26
Richard T Crane Medical Preparatory HS,"2245 W Jackson Blvd, Chicago, IL 60612",88,51,41,58,58
Richard Yates Elementary School,"1839 N Richmond St, Chicago, IL 60647",43,34,28,51,40
Roald Amundsen High School,"5110 N Damen Ave, Chicago, IL 60625",79,70,55,74,62
Robert A Black Magnet Elementary School,"9101 S Euclid Ave, Chicago, IL 60619",97,85,68,88,99
Robert Fulton Elementary School,"5300 S Hermitage Ave, Chicago, IL 60609",82,65,59,50,44
Robert Healy Elementary School,"3010 S Parnell Ave, Chicago, IL 60616",57,72,69,76,37
Robert J. Richardson Middle School,"6018 S Karlov Ave, Chicago, IL 60629",73,63,70,66,38
Robert L Grimes Elementary School,"5450 W 64th Pl, Chicago, IL 60638",66,65,60,56,52
Robert Lindblom Math & Science Academy HS,"6130 S Wolcott Ave, Chicago, IL 60636",89,61,51,86,69
Robert Nathaniel Dett Elementary School,"2131 W Monroe St, Chicago, IL 60612",77,30,39,32,82
Roberto Clemente Community Academy High School,"1147 N Western Ave, Chicago, IL 60622",55,40,44,50,37
Rodolfo Lozano Bilingual & International Ctr ES,"1501 N Greenview Ave, Chicago, IL 60642",71,61,43,59,48
Roger C Sullivan High School,"6631 N Bosworth Ave, Chicago, IL 60626",65,70,58,62,63
Ronald Brown Elementary Community Academy,"12607 S Union Ave, Chicago, IL 60628",92,66,52,59,85
Ronald E McNair Elementary School,"4820 W Walton St, Chicago, IL 60651",91,67,61,54,71
Rosario Castellanos Elementary School,"2524 S Central Park Ave, Chicago, IL 60623",67,46,48,36,42
Roswell B Mason Elementary School,"4217 W 18th St, Chicago, IL 60623",95,79,74,84,91
Rowe Elementary Charter School,"1424 N Cleaver St, Chicago, IL 60622",40,34,26,50,23
Rudyard Kipling Elementary School,"9351 S Lowe Ave, Chicago, IL 60620",59,64,47,54,39
Rueben Salazar Elementary Bilingual Center,"160 W Wendell St, Chicago, IL 60610",65,67,67,65,43
Rufus M Hitch Elementary School,"5625 N Mcvicker Ave, Chicago, IL 60646",75,70,59,71,55
STEM Magnet Academy,"1522 W Fillmore St, Chicago, IL 60607",74,88,80,93,50
Salmon P Chase Elementary School,"2021 N Point St, Chicago, IL 60647",97,83,74,83,96
Sarah E. Goode STEM Academy,"7651 S Homan Ave, Chicago, IL 60652",59,35,33,38,47
Sauganash Elementary School,"6040 N Kilpatrick Ave, Chicago, IL 60646",91,82,76,92,81
Scott Joplin Elementary School,"7931 S Honore St, Chicago, IL 60620",99,76,72,75,86
Sharon Christa McAuliffe Elementary School,"1841 N Springfield Ave, Chicago, IL 60647",65,45,48,47,50
Sidney Sawyer Elementary School,"5248 S Sawyer Ave, Chicago, IL 60632",66,42,34,52,47
Simpson Academy HS for Young Women,"1321 S Paulina St, Chicago, IL 60608",95,56,52,38,63
Sir Miles Davis Magnet Elementary Academy,"6740 S Paulina St, Chicago, IL 60636",77,48,41,62,46
Skinner North,"640 W Scott St, Chicago, IL 60610",59,61,58,74,49
Socorro Sandoval Elementary School,"5534 S Saint Louis Ave, Chicago, IL 60629",-1,75,65,86,-1
South Loop Elementary School,"1212 S Plymouth Ct, Chicago, IL 60605",52,59,56,76,45
South Shore Fine Arts Academy,"1415 E 70th St, Chicago, IL 60637",63,31,33,20,31
Southeast Area Elementary School,"3930 E 105th St, Chicago, IL 60617",89,90,83,86,58
Southside Occupational Academy High School,"7342 S Hoyne Ave, Chicago, IL 60636",-1,91,74,83,-1
Spencer Technology Academy,"214 N Lavergne Ave, Chicago, IL 60644",97,80,76,82,78
Spry Community Links High School,"2400 S Marshall Blvd, Chicago, IL 60623",56,79,64,78,60
Stephen Decatur Classical Elementary School,"7030 N Sacramento Ave, Chicago, IL 60645",86,75,71,97,62
Stephen F Gale Elementary Community Academy,"1631 W Jonquil Ter, Chicago, IL 60626",72,57,35,70,42
Stephen K Hayt Elementary School,"1518 W Granville Ave, Chicago, IL 60660",67,41,31,47,46
Stephen T Mather High School,"5835 N Lincoln Ave, Chicago, IL 60659",74,53,32,46,49
Stone Elementary Scholastic Academy,"6239 N Leavitt St, Chicago, IL 60659",66,37,45,69,42
Suder Montessori Magnet ES,"2022 W Washington Blvd, Chicago, IL 60612",50,39,38,65,13
TEAM Englewood Community Academy High School,"6201 S Stewart Ave, Chicago, IL 60621",68,-1,-1,-1,50
Talman Elementary School,"5450 S Talman Ave, Chicago, IL 60632",-1,88,71,86,-1
Tarkington School of Excellence ES,"3330 W 71st St, Chicago, IL 60629",68,58,47,64,40
Telpochcalli Elementary School,"2832 W 24th Blvd, Chicago, IL 60623",69,91,89,86,36
